datetime,city,lat,lon,temp,humidity,pressure,wind_speed,wind_dir,precipitation,cloud_cover,visibility,dew_point,solar_radiation,snow_depth
2025-11-18T00:00,Yekaterinburg,56.8519,60.6122,-4.0,55,994.3,12.4,183,0.0,100,,-11.8,0.0,0.0
2025-11-18T01:00,Yekaterinburg,56.8519,60.6122,-3.8,49,993.9,12.1,187,0.0,100,,-12.9,0.0,0.0
2025-11-18T02:00,Yekaterinburg,56.8519,60.6122,-3.8,46,993.2,12.3,185,0.0,100,,-13.8,0.0,0.0
2025-11-18T03:00,Yekaterinburg,56.8519,60.6122,-4.1,51,992.9,13.2,191,0.0,100,,-12.6,0.0,0.0
2025-11-18T04:00,Yekaterinburg,56.8519,60.6122,-3.9,57,992.5,12.9,193,0.0,100,,-11.2,0.0,0.0
2025-11-18T05:00,Yekaterinburg,56.8519,60.6122,-2.9,61,992.2,12.6,199,0.0,100,,-9.3,0.0,0.0
2025-11-18T06:00,Yekaterinburg,56.8519,60.6122,-2.0,65,991.8,13.3,205,0.1,100,,-7.7,0.0,0.0
2025-11-18T07:00,Yekaterinburg,56.8519,60.6122,-1.5,70,991.3,14.3,209,0.1,100,,-6.4,0.0,0.0
2025-11-18T08:00,Yekaterinburg,56.8519,60.6122,-0.6,69,990.7,15.3,214,0.0,77,,-5.6,18.0,0.0
2025-11-18T09:00,Yekaterinburg,56.8519,60.6122,0.6,73,990.7,15.3,226,0.0,95,,-3.5,85.0,0.0
2025-11-18T10:00,Yekaterinburg,56.8519,60.6122,2.0,72,990.5,10.3,207,0.0,65,,-2.5,122.0,0.0
2025-11-18T11:00,Yekaterinburg,56.8519,60.6122,2.3,72,990.1,13.0,199,0.0,100,,-2.2,107.0,0.0
2025-11-18T12:00,Yekaterinburg,56.8519,60.6122,2.6,70,989.8,11.9,200,0.0,100,,-2.4,128.0,0.0
2025-11-18T13:00,Yekaterinburg,56.8519,60.6122,2.7,73,989.6,15.9,223,0.0,100,,-1.6,100.0,0.0
2025-11-18T14:00,Yekaterinburg,56.8519,60.6122,2.5,79,989.6,15.3,227,0.0,100,,-0.7,37.0,0.0
2025-11-18T15:00,Yekaterinburg,56.8519,60.6122,2.2,84,989.5,13.5,222,0.0,100,,-0.2,5.0,0.0
2025-11-18T16:00,Yekaterinburg,56.8519,60.6122,2.2,86,989.1,12.1,207,0.0,100,,0.2,0.0,0.0
2025-11-18T17:00,Yekaterinburg,56.8519,60.6122,2.5,87,988.8,13.6,195,0.0,100,,0.6,0.0,0.0
2025-11-18T18:00,Yekaterinburg,56.8519,60.6122,2.7,87,988.0,14.8,198,0.0,100,,0.8,0.0,0.0
2025-11-18T19:00,Yekaterinburg,56.8519,60.6122,3.0,87,987.4,15.9,198,0.0,100,,1.0,0.0,0.0
2025-11-18T20:00,Yekaterinburg,56.8519,60.6122,3.2,87,986.3,15.8,197,0.0,48,,1.3,0.0,0.0
2025-11-18T21:00,Yekaterinburg,56.8519,60.6122,3.1,89,986.0,16.5,200,0.0,100,,1.4,0.0,0.0
2025-11-18T22:00,Yekaterinburg,56.8519,60.6122,3.5,89,985.1,15.6,192,0.0,100,,1.9,0.0,0.0
2025-11-18T23:00,Yekaterinburg,56.8519,60.6122,4.0,90,984.8,16.0,195,0.0,100,,2.5,0.0,0.0
2025-11-19T00:00,Yekaterinburg,56.8519,60.6122,4.4,91,984.0,16.7,201,0.0,100,,3.1,0.0,0.0
2025-11-19T01:00,Yekaterinburg,56.8519,60.6122,4.9,92,983.2,17.1,207,0.0,100,,3.8,0.0,0.0
2025-11-19T02:00,Yekaterinburg,56.8519,60.6122,5.2,92,982.3,18.5,213,0.0,100,,4.0,0.0,0.0
2025-11-19T03:00,Yekaterinburg,56.8519,60.6122,5.3,91,981.8,19.9,217,0.0,100,,4.0,0.0,0.0
2025-11-19T04:00,Yekaterinburg,56.8519,60.6122,5.1,91,981.5,19.7,217,0.0,100,,3.8,0.0,0.0
2025-11-19T05:00,Yekaterinburg,56.8519,60.6122,4.7,91,981.4,18.5,218,0.0,100,,3.3,0.0,0.0
2025-11-19T06:00,Yekaterinburg,56.8519,60.6122,4.2,92,980.8,17.7,213,0.0,100,,3.0,0.0,0.0
2025-11-19T07:00,Yekaterinburg,56.8519,60.6122,4.2,92,979.9,18.6,210,0.0,100,,2.9,0.0,0.0
2025-11-19T08:00,Yekaterinburg,56.8519,60.6122,4.3,91,979.4,19.5,212,0.0,100,,2.9,10.0,0.0
2025-11-19T09:00,Yekaterinburg,56.8519,60.6122,5.8,93,978.5,21.0,222,0.8,100,,4.8,30.0,0.0
2025-11-19T10:00,Yekaterinburg,56.8519,60.6122,6.4,89,978.3,21.2,222,0.0,100,,4.7,64.0,0.0
2025-11-19T11:00,Yekaterinburg,56.8519,60.6122,6.7,85,977.9,21.3,221,0.0,100,,4.2,44.0,0.0
2025-11-19T12:00,Yekaterinburg,56.8519,60.6122,6.3,84,977.5,22.7,226,0.0,100,,3.8,27.0,0.0
