datetime,city,lat,lon,temp,humidity,pressure,wind_speed,wind_dir,precipitation,cloud_cover,visibility,dew_point,solar_radiation,snow_depth
2025-11-18T00:00,Nizhny Novgorod,56.33,44.0,3.5,95,998.8,16.1,202,0.3,100,,2.7,0.0,0.06
2025-11-18T01:00,Nizhny Novgorod,56.33,44.0,3.9,95,998.5,16.6,201,0.1,100,,3.2,0.0,0.06
2025-11-18T02:00,Nizhny Novgorod,56.33,44.0,4.0,96,998.3,15.7,197,0.0,100,,3.3,0.0,0.05
2025-11-18T03:00,Nizhny Novgorod,56.33,44.0,3.7,96,998.3,15.1,192,0.0,100,,3.1,0.0,0.05
2025-11-18T04:00,Nizhny Novgorod,56.33,44.0,3.7,97,997.9,15.2,184,0.0,100,,3.2,0.0,0.04
2025-11-18T05:00,Nizhny Novgorod,56.33,44.0,3.8,97,997.4,16.0,179,0.0,100,,3.3,0.0,0.04
2025-11-18T06:00,Nizhny Novgorod,56.33,44.0,4.0,97,996.5,16.7,172,0.1,100,,3.5,0.0,0.04
2025-11-18T07:00,Nizhny Novgorod,56.33,44.0,4.1,96,995.5,18.3,169,0.1,100,,3.5,0.0,0.03
2025-11-18T08:00,Nizhny Novgorod,56.33,44.0,4.7,97,994.3,20.3,170,0.1,100,,4.2,0.0,0.03
2025-11-18T09:00,Nizhny Novgorod,56.33,44.0,6.3,96,993.2,22.5,177,0.2,100,,5.7,11.0,0.02
2025-11-18T10:00,Nizhny Novgorod,56.33,44.0,7.2,96,992.0,24.5,180,0.0,100,,6.5,33.0,0.02
2025-11-18T11:00,Nizhny Novgorod,56.33,44.0,8.1,95,991.6,25.4,188,0.0,100,,7.2,55.0,0.01
2025-11-18T12:00,Nizhny Novgorod,56.33,44.0,8.4,94,990.7,25.7,188,0.0,100,,7.5,60.0,0.01
2025-11-18T13:00,Nizhny Novgorod,56.33,44.0,8.7,94,989.9,24.9,191,0.0,100,,7.8,52.0,0.01
2025-11-18T14:00,Nizhny Novgorod,56.33,44.0,8.8,94,989.4,24.7,190,0.1,100,,7.9,30.0,0.0
2025-11-18T15:00,Nizhny Novgorod,56.33,44.0,8.8,96,988.9,22.8,192,0.1,100,,8.1,15.0,0.0
2025-11-18T16:00,Nizhny Novgorod,56.33,44.0,8.7,96,988.3,23.1,194,0.1,87,,8.1,3.0,0.0
2025-11-18T17:00,Nizhny Novgorod,56.33,44.0,8.8,95,987.6,22.0,198,0.0,100,,8.1,0.0,0.0
2025-11-18T18:00,Nizhny Novgorod,56.33,44.0,9.3,94,987.2,22.8,197,0.0,100,,8.4,0.0,0.0
2025-11-18T19:00,Nizhny Novgorod,56.33,44.0,9.1,96,986.8,22.9,201,0.2,100,,8.5,0.0,0.0
2025-11-18T20:00,Nizhny Novgorod,56.33,44.0,9.4,94,986.8,22.8,216,0.0,100,,8.5,0.0,0.0
2025-11-18T21:00,Nizhny Novgorod,56.33,44.0,9.5,94,986.8,22.8,227,0.3,100,,8.6,0.0,0.0
2025-11-18T22:00,Nizhny Novgorod,56.33,44.0,7.8,96,988.5,26.2,260,0.6,100,,7.2,0.0,0.0
2025-11-18T23:00,Nizhny Novgorod,56.33,44.0,5.6,93,990.7,21.5,262,0.4,100,,4.6,0.0,0.0
2025-11-19T00:00,Nizhny Novgorod,56.33,44.0,4.2,94,992.1,20.2,257,0.1,100,,3.2,0.0,0.0
2025-11-19T01:00,Nizhny Novgorod,56.33,44.0,3.3,92,993.3,17.8,252,0.0,100,,2.2,0.0,0.0
2025-11-19T02:00,Nizhny Novgorod,56.33,44.0,2.7,86,994.2,19.4,249,0.0,100,,0.6,0.0,0.0
2025-11-19T03:00,Nizhny Novgorod,56.33,44.0,2.2,82,995.4,19.5,250,0.0,98,,-0.5,0.0,0.0
2025-11-19T04:00,Nizhny Novgorod,56.33,44.0,1.8,80,996.8,20.1,249,0.0,100,,-1.3,0.0,0.0
2025-11-19T05:00,Nizhny Novgorod,56.33,44.0,1.3,76,997.9,21.6,253,0.0,100,,-2.4,0.0,0.0
2025-11-19T06:00,Nizhny Novgorod,56.33,44.0,1.0,73,998.6,19.7,246,0.0,100,,-3.3,0.0,0.0
2025-11-19T07:00,Nizhny Novgorod,56.33,44.0,0.9,69,999.6,20.0,248,0.0,97,,-4.2,0.0,0.0
2025-11-19T08:00,Nizhny Novgorod,56.33,44.0,0.6,70,1000.7,18.1,249,0.0,77,,-4.2,0.0,0.0
