datetime,city,lat,lon,temp,humidity,pressure,wind_speed,wind_dir,precipitation,cloud_cover,visibility,dew_point,solar_radiation,snow_depth
2025-11-18T00:00,Saint Petersburg,59.9386,30.3141,-2.3,90,998.8,4.2,162,0.0,95,,-3.7,0.0,0.04
2025-11-18T01:00,Saint Petersburg,59.9386,30.3141,-2.0,90,998.5,6.9,155,0.0,100,,-3.3,0.0,0.04
2025-11-18T02:00,Saint Petersburg,59.9386,30.3141,-1.6,90,998.1,6.4,158,0.0,100,,-3.0,0.0,0.04
2025-11-18T03:00,Saint Petersburg,59.9386,30.3141,-3.5,91,998.1,6.1,137,0.0,94,,-4.7,0.0,0.03
2025-11-18T04:00,Saint Petersburg,59.9386,30.3141,-3.1,91,997.7,6.3,127,0.0,100,,-4.3,0.0,0.03
2025-11-18T05:00,Saint Petersburg,59.9386,30.3141,-2.4,91,997.1,5.4,127,0.0,100,,-3.7,0.0,0.03
2025-11-18T06:00,Saint Petersburg,59.9386,30.3141,-2.4,91,996.8,6.0,127,0.0,100,,-3.6,0.0,0.03
2025-11-18T07:00,Saint Petersburg,59.9386,30.3141,-2.5,92,996.4,3.7,133,0.0,100,,-3.7,0.0,0.03
2025-11-18T08:00,Saint Petersburg,59.9386,30.3141,-2.0,91,996.2,2.7,152,0.0,100,,-3.2,0.0,0.03
2025-11-18T09:00,Saint Petersburg,59.9386,30.3141,-1.5,91,996.3,4.2,155,0.0,100,,-2.8,0.0,0.03
2025-11-18T10:00,Saint Petersburg,59.9386,30.3141,-1.5,92,996.3,2.5,120,0.2,100,,-2.7,5.0,0.03
2025-11-18T11:00,Saint Petersburg,59.9386,30.3141,-1.4,92,996.4,2.2,114,0.3,100,,-2.5,29.0,0.04
2025-11-18T12:00,Saint Petersburg,59.9386,30.3141,-1.2,91,996.3,1.9,56,0.3,100,,-2.5,41.0,0.04
2025-11-18T13:00,Saint Petersburg,59.9386,30.3141,-1.2,91,995.9,3.6,27,0.3,100,,-2.6,61.0,0.04
2025-11-18T14:00,Saint Petersburg,59.9386,30.3141,-1.1,90,995.5,3.8,25,0.2,100,,-2.7,61.0,0.04
2025-11-18T15:00,Saint Petersburg,59.9386,30.3141,-1.3,91,995.8,3.0,322,0.3,100,,-2.7,31.0,0.04
2025-11-18T16:00,Saint Petersburg,59.9386,30.3141,-1.4,92,996.2,2.9,300,0.6,100,,-2.5,10.0,0.04
2025-11-18T17:00,Saint Petersburg,59.9386,30.3141,-1.4,95,996.7,3.6,297,0.7,100,,-2.2,0.0,0.05
